id,title,release_date,budget,revenue,status,tagline,runtime,popularity,original_language,homepage,adult,overview,languages,production_countries,production_companies,genres
10625,Mean Girls,2004-04-30,17000000,129042871,Released,Welcome to girl world.,97,1.6772E+01,en,http://www.meangirls.com/,false,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.","Kiswahili,English,Deutsch,Tiếng Việt",United States of America,"Broadway Video,Paramount,M.G. Films",Comedy
402,Basic Instinct,1992-03-20,49000000,352927224,Released,A brutal murder. A brilliant killer. A cop who can't resist the danger.,127,1.3435E+01,en,https://www.sonymoviechannel.com/movies/basic-instinct,false,"A police detective is in charge of the investigation of a brutal murder, in which a beautiful and seductive woman could be involved.",English,United States of America,"Carolco Pictures,TriStar Pictures","Thriller,Mystery"
11932,Bride of Chucky,1998-10-16,25000000,50671850,Released,Chucky Gets Lucky.,89,1.3776E+01,en,,false,"Chucky hooks up with another murderous doll, the bridal gown-clad Tiffany, for a Route 66 murder spree with their unwitting hosts.",English,"Canada,United States of America","Universal Pictures,Midwinter Productions Inc.","Horror,Comedy"
184315,Hercules,2014-07-23,100000000,244819862,Released,"Before he was a legend, he was a man.",99,2.62E+01,en,,false,"Fourteen hundred years ago, a tormented soul walked the earth that was neither man nor god. Hercules was the powerful son of the god king Zeus, for this he received nothing but suffering his entire life. After twelve arduous labors and the loss of his family, this dark, world-weary soul turned his back on the gods finding his only solace in bloody battle. Over the years he warmed to the company of six similar souls, their only bond being their love of fighting and presence of death. These men and woman never question where they go to fight or why or whom, just how much they will be paid. Now the King of Thrace has hired these mercenaries to train his men to become the greatest army of all time. It is time for this bunch of lost souls to finally have their eyes opened to how far they have fallen when they must train an army to become as ruthless and blood thirsty as their reputation has become.",English,United States of America,"Paramount,Radical Studios,Flynn Picture Company,Metro-Goldwyn-Mayer","Action,Adventure"
55301,Alvin and the Chipmunks: Chipwrecked,2011-12-14,75000000,342695435,Released,This holiday it's gonna get squeaky.,87,1.6999E+01,en,http://www.munkyourself.com/,false,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",English,United States of America,"Fox 2000 Pictures,20th Century Fox,Regency Enterprises,Dune Entertainment,Bagdasarian Productions","Comedy,Fantasy,Family,Music,Animation"
11001,Blue Streak,1999-09-17,65000000,117758500,Released,He's A Cop That's Not.,93,1.351E+01,en,,false,"Miles Logan is a jewel thief who just hit the big time by stealing a huge diamond. However, after two years in jail, he comes to find out that he hid the diamond in a police building that was being built at the time of the robbery. In an attempt to regain his diamond, he poses as an LAPD detective.",English,"Germany,United States of America",Columbia Pictures,"Action,Comedy,Crime"
24929,Return of the Living Dead Part II,1988-01-15,6200000,9205924,Released,Just when you thought it was safe to be dead.,89,1.2734E+01,en,,false,"A group of kids discover one of the drums containing a rotting corpse and release the 2-4-5 Trioxin gas into the air, causing the dead to once again rise from the grave and seek out brains.",Español,United States of America,Greenfox,"Comedy,Horror"
4513,30 Days of Night,2007-10-17,30000000,75505973,Released,They're Coming!,113,1.6167E+01,en,http://www.30daysofnight.com/,false,"This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.",English,"New Zealand,United States of America","HorrorFlix,Columbia Pictures,Ghost House Pictures,Dark Horse Entertainment","Horror,Thriller"
88751,Journey to the Center of the Earth,2008-07-10,45000000,101702060,Released,Same Planet. Different World.,93,1.7813E+01,en,,false,"On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.","English,Íslenska,Italiano",United States of America,"New Line Cinema,Walden Media","Action,Science Fiction,Adventure,Comedy,Family"
6075,Carlito's Way,1993-11-10,30000000,36516012,Released,He's got a good future if he can live past next week.,144,1.3581E+01,en,,false,"A Puerto-Rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him, and lead a better life outside NYC.","English,Español",United States of America,"Universal Pictures,Epic Productions,Bregman/Baer Productions","Crime,Thriller"
1497,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991-03-22,25000000,78656813,Released,"Cowabunga, it's the new turtle movie.",88,1.1597E+01,en,,false,"The Turtles and the Shredder battle once again, this time for the last cannister of the ooze that created the Turtles, which Shredder wants to create an army of new mutants.",English,"Hong Kong,United States of America","Orange Sky Golden Harvest,New Line Cinema","Science Fiction,Adventure,Action,Comedy,Family"
13448,Angels & Demons,2009-05-13,150000000,356613439,Released,The holiest event of our time. Perfect for their return.,138,1.7581E+01,en,http://www.angelsanddemons.com/,false,"Harvard symbologist Robert Langdon is recruited by the Vatican to investigate the apparent return of the Illuminati - a secret, underground organization - after four cardinals are kidnapped on the night of the papal conclave.","English,Italiano,Latin,Français,Deutsch,普通话","Italy,United States of America","Columbia Pictures,Imagine Entertainment,Skylark Productions,Panorama Films,Sony Pictures","Thriller,Mystery"
1018,Mulholland Drive,2001-09-08,15000000,20117339,Released,An actress longing to be a star. A woman searching for herself. Both worlds will collide… on Mulholland Drive.,147,1.5689E+01,en,,false,"Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman's identity, filmmaker Adam Kesher runs into ominous trouble while casting his latest project.","Español,English","France,United States of America","Asymmetrical Productions,Les Films Alain Sarde,Babbo Inc.,The Picture Factory,Canal+","Thriller,Drama,Mystery"
