id,title,release_date,budget,revenue,status,tagline,runtime,popularity,original_language,homepage,adult,overview,languages,production_countries,production_companies,genres
142158,Greatest Hits,2012-08-02,320000,2333,Released,,103,1.942E+00,en,,false,"When Gabino's father returns home after a long absence, the two men awkwardly attempt to re-establish a relationship; but Gabino and his mother quickly tire of this man who has become a stranger to them and decide to kick him out, before realizing that he has already left. Gabino eventually tracks his father down and spends time with him in his rundown apartment, trying to figure out if there is any possibility for the two of them to ever truly communicate. Though Greatest Hits continues Pereda's exploration of his perennial themes of absence, masculinity and the difficulty of maintaining a family, it opens up a whole new set of aesthetic questions through a bold formal gambit: halfway through, the entire narrative reboots and starts from scratch with another actor playing one of the key characters, leading to different iterations of events already witnessed.",Español,"Canada,Mexico,Netherlands",,"Comedy,Drama"
66669,30 Days,2006-10-06,500000,5000000,Released,Know who your brother really is.,91,1.255E+00,en,,false,"Two star basketball players, Donnell, a black kid from the inner city high school, and Jason, a white kid from the affluent suburbs, are sentenced to 30 days of labour in each other's communities after a brawl between their two teams. When they return to their home turf, both see their new attitudes put to the test.",English,,,Drama
119441,"Hetalia: Axis Powers: Paint It, White!",2010-06-05,250000,1950000,Released,It's totally the end of the world!,80,1.546E+00,ja,http://www.madman.com.au/catalogue/view/15369/,false,"The Pictorians have arrived from deep in space. They also have dangly glow-balls on their heads, which is kinda cool, but still. The freaky aliens are using use their crazy rainbow-beam-thingy to paint everything on Earth the same color: white! See, now the title of the movie makes more sense, right? Anyway, if the Pictorians are to be stopped, the Allied guys and the Axis boys - plus some new characters, too - must set aside their differences, unite against their common foe, and hopefully get together for a sweaty workout to make sure they're super-ready to save the world!","English,日本語",Japan,"Movic,Frontier Works,Media Factory,Studio Deen","History,Animation,Comedy"
129439,Bachelor Party,2012-07-15,1950000,2000000,Released,Life is a boring highway. Just OFF-ROAD it,120,1.912E+00,ml,http://en.wikipedia.org/wiki/Bachelor_Party_%282012_film%29,false,"Bachelor Party is a 2012 Malayalam–language Indian action film directed, co-produced and filmed by Amal Neerad. The film stars Asif Ali, Indrajith, Rahman, Kalabhavan Mani, Vinayakan and Nithya Menen in the lead roles while Prithviraj makes a guest appearance, and Padmapriya and Remya Nambeesan appear in musical item numbers. The film's screenplay is by noted authors Unni. R and Santhosh Echikkanam while the critically acclaimed original music and background score are composed by Rahul Raj.  The film released on June 15, 2012, to negative reviews.Its plot is loosely based on Johnnie To's Exiled, a 2006 Hong Kong action film and has been given thanks in the opening credits. This film was released with high expectations and was declared as hit in box office",,India,Amal Neerad Productions,"Action,Comedy,Crime"
146582,Naduvula Konjam Pakkatha Kaanom,2012-11-30,120000,885000,Released,A Few Pages Missing in the Centre,161,1.911E+00,ta,,false,"A slip-up on the cricket field results in short-term memory loss for Prem, who is set to marry his lover Dhanalakshmi in a couple of days. When a night in a hospital doesn't bring him to normalcy, Prem's three baffled friends — Bags, Bajji and Saras — decide to get him to tie the knot without the groom's and bride's families (including Dhanam herself) realizing his condition.",தமிழ்,India,Leo Vision,Comedy
240865,Naan Sigappu Manithan,2014-04-11,1200000,2800000,Released,,161,2.217E+00,ta,,false,"Indran suffers from narcolepsy, a sleep disorder that makes him fall asleep at the slightest excitement. He meets Meera and they fall in love but one night, they are attacked by unknown persons. Indran panics and goes into sleep, while Meera is raped. Indran must rely hard on his wits to find the assailants and overcome his condition get his revenge.",தமிழ்,India,"UTV Motion Pictures,Vishal Film Factory","Action,Drama"
84371,Kaaryasthan,2010-11-05,510000,2700000,Released,,169,1.516E+00,ml,,false,Dileep and Salim Kumar play the overseers of two affluent families that have been loggerheads with each other for a long time.,,,,"Comedy,Drama"
264734,One More Round,2005-02-25,350000,4984,Released,"When Mid-Life Crisis Hits, You Swing Back!",90,1.05E+00,en,,false,"JOSEPH REX is a common businessman who lives life quietly, risk free and overly out of shape. When a rival business associate dares him to enter an amateur boxing contest, JOSEPH REX decides to change his life. With a help of a few friends, FRANK, a heartbroken writer, and JAKE, a trainer who knows zero about boxing, the quest to change a man once and for all begins. Getting in shape has never been this ludicrous and heartwarming. This hilarious situational comedy leaves you hanging on the ropes with sweaty excitement, sexy adventures, and life lessons to tell your grandkids about. Written by One More Round, LLC",,United States of America,,Comedy
310098,Gazgolder: The Movie,2014-04-24,2800000,1782801,Released,,119,2.199E+00,ru,,false,"Basta and his friends had a serious conflict with the powerful clan of silovikov. The guys have to find a way out of this situation, including the power of creative energy.",Pусский,Russia,"TO ""Gazgolder""",Crime
272731,Pane e burlesque,2014-05-29,2000000,319180,Released,,0,2.181E+00,it,,false,,,Italy,"Italian International Film,Rai Cinema,Apulia Film Commission,Banca Nazionale del Lavoro,Aliante Partners,Ministero per i Beni e le Attività Culturali",Comedy
710496,star wars the clone wars - the siege of mandalore,2020-05-04,100000,1000000,Released,aftermath,130,1.4E+00,en,,false,"Asoka has to go with commander rex to fight against darth maul on mandalore, but they find that they have a bigger problem at hand.",English,United States Minor Outlying Islands,Disney+,"Science Fiction,Action,Fantasy,Drama"
142487,The Precocious and Brief Life of Sabina Rivas,2012-11-09,4620000,2395000,Released,"To dream of the american dream is easy, but it is difficult to cross Mexico.",115,1.853E+00,es,http://www.sabinarivaslapelicula.com.mx,false,"In the Mexican-Guatemalan border, young teenage lovers, Sabina and Jovany, both Hondurans, accidentally meet again after some years without seeing each other. She plans to get to the United States and dreams about being a great singer; he commits all the required atrocities to be accepted by the gang: la Mara Salvatrucha. Sabina and Jovany crashed with the most adverse conditions at the border like white slavery, the Mexican and American migratory agents Burrona and Patrick, the brothel matron Doña Lita, Don Nico the Mexican Consul in Tecún Umán, the drug trafficking networks, the army and la Mara Salvatrucha.",Español,Mexico,"Churchill Toledo,Consejo Nacional para la cultura y las artes",Drama
460035,Thawed Carp,2017-11-07,1000000,173187,Released,,97,2.769E+00,ru,,false,"Elena Mihailovna, having worked all her life in the only school of a provincial town, lives modestly in retirement. Unexpectedly she learns of a fatal diagnosis, which can at any moment end her life. Instead of an unbearable anticipation, she resolutely begins the preparation for her own death, in order to simplify the procedure for her son. She has not seen her only son for over five years because he worrks in the capital. Oleg is constantly busy, and he does not have time for his lonely mother. At the same time with all the new problems, the heroine receives as a gift a huge carp, which changes her life.",Pусский,Russia,KinoKlaster,"Drama,Comedy"
